      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
------------+------------+-----+-------------------------------------------------------------------------+-----+--------------------
          0 |       1056 | Rdr |26(7)                                                                    |     | REQA
      10768 |      20144 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
    4544384 |    4545440 | Rdr |26(7)                                                                    |     | REQA
    4555136 |    4564512 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
    9089136 |    9090192 | Rdr |26(7)                                                                    |     | REQA
    9099904 |    9109280 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   13633936 |   13634992 | Rdr |26(7)                                                                    |     | REQA
   13644704 |   13654080 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   18177712 |   18178768 | Rdr |26(7)                                                                    |     | REQA
   18188480 |   18197856 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   22721664 |   22722720 | Rdr |26(7)                                                                    |     | REQA
   22732416 |   22741792 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   27266448 |   27267504 | Rdr |26(7)                                                                    |     | REQA
   27277216 |   27286592 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   31810464 |   31811520 | Rdr |26(7)                                                                    |     | REQA
   31821232 |   31830608 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   36356048 |   36357104 | Rdr |26(7)                                                                    |     | REQA
   36366816 |   36376192 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   40899568 |   40900624 | Rdr |26(7)                                                                    |     | REQA
   40910336 |   40919712 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   45442864 |   45443920 | Rdr |26(7)                                                                    |     | REQA
   45453632 |   45463008 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   49988656 |   49989712 | Rdr |26(7)                                                                    |     | REQA
   49999424 |   50008800 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   54532112 |   54533168 | Rdr |26(7)                                                                    |     | REQA
   54542880 |   54552256 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   59074464 |   59075520 | Rdr |26(7)                                                                    |     | REQA
   59085232 |   59094608 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   63619792 |   63620848 | Rdr |26(7)                                                                    |     | REQA
   63630560 |   63639936 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   68166000 |   68167056 | Rdr |26(7)                                                                    |     | REQA
   68176768 |   68186144 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   72710112 |   72711168 | Rdr |26(7)                                                                    |     | REQA
   72720880 |   72730256 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   77254544 |   77255600 | Rdr |26(7)                                                                    |     | REQA
   77265312 |   77274688 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
   81799920 |   81800976 | Rdr |26(7)                                                                    |     | REQA
   81810688 |   81820064 | Rdr |6a  02  81  03  00  00  35  51                                           |  ok | ECP2 (Identity)
