      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
------------+------------+-----+-------------------------------------------------------------------------+-----+--------------------
          0 |       1056 | Rdr |26(7)                                                                    |     | REQA
      10768 |      18928 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
    4720240 |    4721296 | Rdr |26(7)                                                                    |     | REQA
    4731008 |    4739168 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
    9589104 |    9590160 | Rdr |26(7)                                                                    |     | REQA
    9599872 |    9608032 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   14464960 |   14466016 | Rdr |26(7)                                                                    |     | REQA
   14475728 |   14483888 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   19340384 |   19341440 | Rdr |26(7)                                                                    |     | REQA
   19351136 |   19359296 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   24216032 |   24217088 | Rdr |26(7)                                                                    |     | REQA
   24226800 |   24234960 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   29090208 |   29091264 | Rdr |26(7)                                                                    |     | REQA
   29100976 |   29109136 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   33965376 |   33966432 | Rdr |26(7)                                                                    |     | REQA
   33976144 |   33984304 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   38840768 |   38841824 | Rdr |26(7)                                                                    |     | REQA
   38851536 |   38859696 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   43714944 |   43716000 | Rdr |26(7)                                                                    |     | REQA
   43725712 |   43733872 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   48591024 |   48592080 | Rdr |26(7)                                                                    |     | REQA
   48601792 |   48609952 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   53466384 |   53467440 | Rdr |26(7)                                                                    |     | REQA
   53477152 |   53485312 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   58340256 |   58341312 | Rdr |26(7)                                                                    |     | REQA
   58351024 |   58359184 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
   63214992 |   63216048 | Rdr |26(7)                                                                    |     | REQA
   63225760 |   63233920 | Rdr |6a  01  cf  00  00  ab  b1                                               |  ok | ECP1
